BOTTLE,20240810CCHHYDRO
#BOTTLE,20240514CCHSIOENA
# CTD data reprocessed by ODF as requested by scientific personnel associated with the cruise, noticing an inconsistency in the data between stations 087 and 088 in derived temperature/salinity parameters.
# Merged parameters: CTDTMP, CTDSAL, CTDSAL_FLAG_W, CTDOXY, CTDOXY_FLAG_W
# 20230731CCHSIOCBG
# Merged parameters: Nd_143_D_EPSILON_BOTTLE, Nd_143_D_EPSILON_BOTTLE_FLAG_W, Nd_D_CONC, Nd_D_CONC_FLAG_W, Nd_143_144_D_RATIO_BOTTLE, Nd_143_144_D_RATIO_BOTTLE_FLAG_W, Nd_143_144_D_RATIO_BOTTLE_ERROR, Nd_143_D_EPSILON_BOTTLE_ERROR
# Merged parameters: DELC14, DELC14_FLAG_W, C14ERR, DELC13, DELC13_FLAG_W
# 20220817CCHSIOAMB
# Added expected units to TON, no data, flag 1s present
# Changed POC units to expected UG/KG
# I (Barna) am ok with making these units changes because the incorrect units are my fault as the bottle DB person on this cruise.
# Documented new REE params
# Change CTDRINKO flag from 5 to 4 at Station 20, cast 1, sample 36
# Change REFTEMP flag with missing value from 2 to 9 (about 50 locations)
# Changed TDN flag from -999 to 2 at the following locations:
# STN 42, cast 1, sample 26
# STN 42, cast 1, sample 17
# STN 42, cast 1, sample 7
# STN 42, cast 1, sample 2
# STN 98, cast 1, sample 14
#BOTTLE,20210329SIOCCHCBG
# processed by CCHDO on 2021-05-07 (SCD), changes status of O2 from preliminary to FINAL
# Merged parameters: SF6, SF6_FLAG_W, CFC-12, CFC-12_FLAG_W, CFC-11, CFC-11_FLAG_W, N2O, N2O_FLAG_W
# Merged parameters: DOC, DOC_FLAG_W, TDN, TDN_FLAG_W
# Merged parameters: CTDPRS, CTDTMP, CTDSAL, CTDSAL_FLAG_W, REFTMP, REFTMP_FLAG_W
# Merged parameters: SALNTY, SALNTY_FLAG_W
# 20190305SIOCCHCBG
#BOTTLE,20190305SIOCCHCBG
# Merged parameters: TCARBN, TCARBN_FLAG_W, ALKALI, ALKALI_FLAG_W, PH_TOT_FLAG_W, PH_TMP
# Merged parameters: DEPTH, CTDOXY, CTDRINKO, CTDRINKO_FLAG_W
#BOTTLE,20180513SIO
# DEPTH = (gsw Z_from_P with corrected max pressure) + (altimeter reading)
#BOTTLE,20181211PRINUNIVRMK
#BOTTLE,20210310PRINUNIVRMK
# 06/02/2017 Initialized README file  
# Data source: very preliminary 5/24/18 
# SHIP: N.B. Palmer 
# Cruise: NBP18_02 
# Region: S04P; zonal Pacific section at ~67S; P15S & P16S south of 67S 
# EXPOCODE: 320620180309 
# DATES: 20180309 - 20180514 
# Chief Scientist: Alison Macdonald 
